Player,Position,Team,UpdatedProjection,UpdatedStdDev,Cash%,Top1%,Sim. Own%,Proj. Own%,Avg. Return,Game Minutes Remaining
Cody Martin,SF/SG/G/F/UTIL,CHA,18.71,6.97,6.9%,0.64%,2.38%,1.53%,$-6.78,48
RJ Barrett,SF/F/UTIL,TOR,39.81,12.57,9.1%,0.0%,0.48%,3.46%,$-6.84,48
Julian Strawther,SF/SG/G/F/UTIL,DEN,16.28,6.52,11.2%,0.0%,0.11%,0.06%,$-6.90,48
LaMelo Ball,PG/G/UTIL,CHA,46.38,13.74,7.35%,0.0%,16.89%,6.68%,$-6.98,48
Anthony Black,PG/G/UTIL,ORL,22.85,9.25,8.57%,0.0%,0.7%,0.78%,$-6.98,48
Jake LaRavia,PF/SF/F/UTIL,MEM,14.95,7.48,6.58%,0.0%,0.36%,0.25%,$-6.98,48
Jayson Tatum,PF/SF/F/UTIL,BOS,52.73,15.37,6.87%,0.03%,7.03%,8.43%,$-7.01,48
Zach Edey,C/UTIL,MEM,20.15,9.6,7.07%,0.0%,0.23%,0.78%,$-7.03,48
Chris Boucher,C/PF/F/UTIL,TOR,21.06,10.76,3.85%,0.94%,1.95%,6.03%,$-7.07,48
Tre Jones,PG/G/UTIL,SAS,13.94,7.14,6.98%,0.0%,0.73%,1.17%,$-7.11,48
Terrence Shannon Jr.,SF/SG/G/F/UTIL,MIN,0,0.0,0.94%,0.0%,0.05%,0.03%,$-7.14,48
Mike Conley,PG/G/UTIL,MIN,21.48,8.96,6.31%,0.0%,3.08%,4.91%,$-7.15,48
Donte DiVincenzo,PG/SG/G/UTIL,MIN,26.86,9.28,5.68%,0.0%,2.13%,1.55%,$-7.21,48
Jeff Dowtin,PG/G/UTIL,PHI,12.599743923611111,4.603070642683861,5.43%,0.0%,0.39%,0.1%,$-7.24,41
Julian Champagnie,SF/SG/G/F/UTIL,SAS,16.33,7.53,5.81%,0.0%,1.07%,0.73%,$-7.25,48
John Collins,C/PF/F/UTIL,UTA,0,0.0,0.0%,0.0%,0.05%,0.06%,$-7.25,48
David Duke Jr.,SG/G/UTIL,SAS,0,0.0,0.0%,0.0%,0.05%,0.03%,$-7.25,48
Johnny Juzang,SF/SG/G/F/UTIL,UTA,0,0.0,0.0%,0.0%,0.05%,0.03%,$-7.25,48
Tre Mann,PG/G/UTIL,CHA,0,0.0,0.0%,0.0%,0.05%,0.04%,$-7.25,48
Isaiah Wong,PG/SG/G/UTIL,CHA,0,0.0,0.0%,0.0%,0.05%,0.03%,$-7.25,48
Jack McVeigh,SG/G/UTIL,HOU,0,0.0,0.0%,0.0%,0.05%,0.03%,$-7.25,48
Dwight Powell,C/UTIL,DAL,4.62,3.08,0.0%,0.0%,0.05%,0.1%,$-7.25,48
Landry Shamet,SF/SG/G/F/UTIL,NYK,6.09216579861111,4.1128027635814375,0.0%,0.0%,0.05%,0.1%,$-7.25,41
Karlo Matkovic,C/PF/F/UTIL,NOP,0,0.0,0.0%,0.0%,0.05%,0.03%,$-7.25,48
Pat Spencer,PG/G/UTIL,GSW,0,0.0,0.0%,0.0%,0.05%,0.03%,$-7.25,48
Tari Eason,PF/F/UTIL,HOU,0,0.0,0.0%,0.0%,0.05%,0.04%,$-7.25,48
Jonathan Kuminga,PF/F/UTIL,GSW,0,0.0,0.0%,0.0%,0.05%,0.06%,$-7.25,48
Chris Duarte,SF/SG/G/F/UTIL,CHI,0,0.0,0.0%,0.0%,0.05%,0.03%,$-7.25,48
Taj Gibson,C/UTIL,CHA,7.99,4.55,0.0%,0.0%,0.05%,0.1%,$-7.25,48
Ryan Rollins,PG/G/UTIL,MIL,13.91,7.28,0.0%,0.0%,0.05%,0.09%,$-7.25,48
Brandin Podziemski,PG/SG/G/UTIL,GSW,0,0.0,0.0%,0.0%,0.05%,0.04%,$-7.25,48
Spencer Jones,SF/SG/G/F/UTIL,DEN,0,0.0,0.0%,0.0%,0.05%,0.03%,$-7.25,48
